form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,paradigm_tag,variants_tag,overabundance_tag,source,page,language_id
ranglong103,mu,1.sg.3.pl.fut.neg,mu u noning,Σ u noning,Σ+u+no+ni+ng,Σ u n o n i ŋ,Σ + u + n o + n i + ŋ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong104,mu,1.sg.3.pl.fut.neg,mu noning,Σ noning,Σ+no+ni+ng,Σ n o n i ŋ,Σ + n o + n i + ŋ,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong105,mu,1.pl.2.sg.fut.neg,namu nomani,naΣ nomani,na+Σ+no+ma+ni,n a Σ n o m a n i,n a + Σ + n o + m a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong106,mu,1.pl.2.pl.fut.neg,namu u nomani,naΣ u nomani,na+Σ+u+no+ma+ni,n a Σ u n o m a n i,n a + Σ + u + n o + m a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong107,mu,1.pl.2.pl.fut.neg,namu nomani,naΣ nomani,na+Σ+no+ma+ni,n a Σ n o m a n i,n a + Σ + n o + m a + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong108,mu,1.sg.3.sg.fut.neg,mu noning,Σ noning,Σ+no+ni+ng,Σ n o n i ŋ,Σ + n o + n i + ŋ,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong109,mu,1.pl.3.sg.fut.neg,mu nomani,Σ nomani,Σ+no+ma+ni,Σ n o m a n i,Σ + n o + m a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong110,mu,1.pl.3.pl.fut.neg,mu u nomani,Σ u nomani,Σ+u+no+ma+ni,Σ u n o m a n i,Σ + u + n o + m a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong111,mu,1.pl.3.pl.fut.neg,mu nomani,Σ nomani,Σ+no+ma+ni,Σ n o m a n i,Σ + n o + m a + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong112,se,2.sg.fut.neg,se notani,Σ notani,Σ+no+ta+ni,Σ n o t a n i,Σ + n o + t a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong113,se,2.pl.fut.neg,se u notani,Σ u notani,Σ+u+no+ta+ni,Σ u n o t a n i,Σ + u + n o + t a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong114,mu,2.sg.1.sg.fut.neg,namu notani,naΣ notani,na+Σ+no+ta+ni,n a Σ n o t a n i,n a + Σ + n o + t a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong115,mu,2.sg.1.pl.fut.neg,namu u notani,naΣ u notani,na+Σ+u+no+ta+ni,n a Σ u n o t a n i,n a + Σ + u + n o + t a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong116,mu,2.pl.1.sg.fut.neg,namu u notani,naΣ u notani,na+Σ+u+no+ta+ni,n a Σ u n o t a n i,n a + Σ + u + n o + t a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong117,mu,2.pl.1.sg.fut.neg,namu notani,naΣ notani,na+Σ+no+ta+ni,n a Σ n o t a n i,n a + Σ + n o + t a + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong118,mu,2.pl.1.pl.fut.neg,namu u notani,naΣ u notani,na+Σ+u+no+ta+ni,n a Σ u n o t a n i,n a + Σ + u + n o + t a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong119,mu,2.pl.1.pl.fut.neg,namu notani,naΣ notani,na+Σ+no+ta+ni,n a Σ n o t a n i,n a + Σ + n o + t a + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong120,mu,2.sg.3.sg.fut.neg,mu notani,Σ notani,Σ+no+ta+ni,Σ n o t a n i,Σ + n o + t a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong121,mu,2.sg.3.pl.fut.neg,mu notani,Σ notani,Σ+no+ta+ni,Σ n o t a n i,Σ + n o + t a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong122,mu,2.pl.3.sg.fut.neg,mu u notani,Σ u notani,Σ+u+no+ta+ni,Σ u n o t a n i,Σ + u + n o + t a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong123,mu,2.pl.3.sg.fut.neg,mu notani,Σ notani,Σ+no+ta+ni,Σ n o t a n i,Σ + n o + t a + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong124,mu,2.pl.3.pl.fut.neg,mu u notani,Σ u notani,Σ+u+no+ta+ni,Σ u n o t a n i,Σ + u + n o + t a + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong125,mu,2.pl.3.pl.fut.neg,mu notani,Σ notani,Σ+no+ta+ni,Σ n o t a n i,Σ + n o + t a + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong126,se,3.sg.fut.neg,se noni,Σ noni,Σ+no+ni,Σ n o n i,Σ + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong127,se,3.pl.fut.neg,se u noni,Σ u noni,Σ+u+no+ni,Σ u n o n i,Σ + u + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong128,mu,3.sg.1.sg.fut.neg,namu noni,naΣ noni,na+Σ+no+ni,n a Σ n o n i,n a + Σ + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong129,mu,3.sg.1.pl.fut.neg,namu u noni,naΣ u noni,na+Σ+u+no+ni,n a Σ u n o n i,n a + Σ + u + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong130,mu,3.pl.1.sg.fut.neg,namu u noni,naΣ u noni,na+Σ+u+no+ni,n a Σ u n o n i,n a + Σ + u + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong131,mu,3.pl.1.sg.fut.neg,namu noni,naΣ noni,na+Σ+no+ni,n a Σ n o n i,n a + Σ + n o + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong132,mu,3.pl.1.pl.fut.neg,namu u noni,naΣ u noni,na+Σ+u+no+ni,n a Σ u n o n i,n a + Σ + u + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong133,mu,3.pl.1.pl.fut.neg,namu noni,naΣ noni,na+Σ+no+ni,n a Σ n o n i,n a + Σ + n o + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
ranglong134,mu,3.sg.2.sg.fut.neg,namu noni,naΣ noni,na+Σ+no+ni,n a Σ n o n i,n a + Σ + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong135,mu,3.sg.2.pl.fut.neg,namu u noni,naΣ u noni,na+Σ+u+no+ni,n a Σ u n o n i,n a + Σ + u + n o + n i,,unspecified,,Brown2025Ranglong,nopage,ranglong
ranglong136,mu,3.sg.2.pl.fut.neg,namu noni,naΣ noni,na+Σ+no+ni,n a Σ n o n i,n a + Σ + n o + n i,,unspecified,optional_plural,Brown2025Ranglong,nopage,ranglong
